time_s,x_m,y_m,theta_rad,v_m_s,w_rad_s
0.000000000000000000e+00,6.750000000000000000e+00,3.350000000000000089e+00,2.873918337131550871e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,6.752410971591666922e+00,3.349338776762024406e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.000000000000000056e-01,6.754821943183333843e+00,3.348677553524048722e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.500000000000000222e-01,6.757232914775000765e+00,3.348016330286073039e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
2.000000000000000111e-01,6.759643886366667687e+00,3.347355107048097356e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
2.500000000000000000e-01,6.762054857958334608e+00,3.346693883810121672e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
3.000000000000000444e-01,6.764465829550001530e+00,3.346032660572145989e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
3.500000000000000333e-01,6.766876801141668452e+00,3.345371437334170306e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
4.000000000000000222e-01,6.769287772733335373e+00,3.344710214096194623e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
4.500000000000000111e-01,6.771698744325002295e+00,3.344048990858218939e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
5.000000000000000000e-01,6.774109715916669217e+00,3.343387767620243256e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
5.500000000000000444e-01,6.776520687508336138e+00,3.342726544382267573e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
6.000000000000000888e-01,6.778931659100003060e+00,3.342065321144291890e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
6.500000000000000222e-01,6.781342630691669982e+00,3.341404097906316206e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
7.000000000000000666e-01,6.783753602283336903e+00,3.340742874668340523e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
7.500000000000000000e-01,6.786164573875003825e+00,3.340081651430364840e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
8.000000000000000444e-01,6.788575545466670746e+00,3.339420428192389156e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
8.500000000000000888e-01,6.790986517058337668e+00,3.338759204954413473e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
9.000000000000000222e-01,6.793397488650004590e+00,3.338097981716437790e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
9.500000000000000666e-01,6.795808460241671511e+00,3.337436758478462107e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.000000000000000000e+00,6.798219431833338433e+00,3.336775535240486423e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.050000000000000044e+00,6.800630403425005355e+00,3.336114312002510740e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.100000000000000089e+00,6.803041375016672276e+00,3.335453088764535057e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.150000000000000133e+00,6.805452346608339198e+00,3.334791865526559373e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.200000000000000178e+00,6.807863318200006120e+00,3.334130642288583690e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.250000000000000000e+00,6.810274289791673041e+00,3.333469419050608007e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.300000000000000044e+00,6.812685261383339963e+00,3.332808195812632324e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.350000000000000089e+00,6.815096232975006885e+00,3.332146972574656640e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.400000000000000133e+00,6.817507204566673806e+00,3.331485749336680957e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.450000000000000178e+00,6.819918176158340728e+00,3.330824526098705274e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.500000000000000000e+00,6.822329147750007650e+00,3.330163302860729591e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
1.550000000000000044e+00,6.824740119341674571e+00,3.329502079622753907e+00,2.873918337131550871e+00,-5.000000074505805969e-02,0.000000000000000000e+00
