environment_step,huber_loss
2.570000000000000000e+02,6.687636487185955048e-03
2.610000000000000000e+02,4.934227094054222107e-03
2.650000000000000000e+02,6.054627243429422379e-03
2.690000000000000000e+02,5.118896253407001495e-03
2.730000000000000000e+02,5.454801954329013824e-03
2.770000000000000000e+02,9.338204264640808105e-01
2.810000000000000000e+02,4.936737474054098129e-03
2.850000000000000000e+02,4.473262932151556015e-03
2.890000000000000000e+02,4.531572107225656509e-03
2.930000000000000000e+02,9.338302612304687500e-01
2.970000000000000000e+02,4.360768012702465057e-03
3.010000000000000000e+02,2.712439745664596558e-03
3.050000000000000000e+02,3.189447103068232536e-03
3.090000000000000000e+02,3.532459028065204620e-03
3.130000000000000000e+02,9.335645437240600586e-01
3.170000000000000000e+02,3.353297477588057518e-03
3.210000000000000000e+02,9.326297044754028320e-01
3.250000000000000000e+02,9.325319528579711914e-01
3.290000000000000000e+02,2.147305291146039963e-03
3.330000000000000000e+02,2.064339583739638329e-03
3.370000000000000000e+02,2.258855151012539864e-03
3.410000000000000000e+02,9.323326945304870605e-01
3.450000000000000000e+02,9.324183464050292969e-01
3.490000000000000000e+02,1.387177384458482265e-03
3.530000000000000000e+02,1.583054196089506149e-03
3.570000000000000000e+02,1.581561286002397537e-03
3.610000000000000000e+02,9.321618676185607910e-01
3.650000000000000000e+02,9.318496584892272949e-01
3.690000000000000000e+02,1.251443638466298580e-03
3.730000000000000000e+02,1.927400939166545868e-03
3.770000000000000000e+02,2.421011216938495636e-03
3.810000000000000000e+02,1.553162233904004097e-03
3.850000000000000000e+02,2.154208486899733543e-03
3.890000000000000000e+02,2.202492672950029373e-03
3.930000000000000000e+02,2.250249031931161880e-03
3.970000000000000000e+02,2.905468223616480827e-03
4.010000000000000000e+02,2.471633255481719971e-03
4.050000000000000000e+02,3.108653705567121506e-03
4.090000000000000000e+02,9.329545497894287109e-01
4.130000000000000000e+02,2.341113751754164696e-03
4.170000000000000000e+02,2.697174903005361557e-03
4.210000000000000000e+02,2.413946203887462616e-03
4.250000000000000000e+02,2.182506956160068512e-03
4.290000000000000000e+02,9.326831698417663574e-01
4.330000000000000000e+02,2.195335226133465767e-03
4.370000000000000000e+02,2.312929835170507431e-03
4.410000000000000000e+02,9.323546290397644043e-01
4.450000000000000000e+02,1.913524931296706200e-03
4.490000000000000000e+02,2.049659844487905502e-03
4.530000000000000000e+02,1.693622674793004990e-03
4.570000000000000000e+02,1.428394578397274017e-03
4.610000000000000000e+02,2.134440001100301743e-03
4.650000000000000000e+02,2.004170790314674377e-03
4.690000000000000000e+02,1.989060547202825546e-03
4.730000000000000000e+02,1.632010680623352528e-03
4.770000000000000000e+02,2.391268964856863022e-03
4.810000000000000000e+02,1.917377579957246780e-03
4.850000000000000000e+02,1.826254650950431824e-03
4.890000000000000000e+02,2.244864124804735184e-03
4.930000000000000000e+02,1.609384198673069477e-03
4.970000000000000000e+02,1.558889052830636501e-03
5.010000000000000000e+02,1.540976576507091522e-03
5.050000000000000000e+02,1.832127454690635204e-03
5.090000000000000000e+02,2.108620014041662216e-03
5.130000000000000000e+02,1.740110688842833042e-03
5.170000000000000000e+02,1.633976818993687630e-03
5.210000000000000000e+02,1.805752050131559372e-03
5.250000000000000000e+02,1.709945267066359520e-03
5.290000000000000000e+02,1.259172800928354263e-03
5.330000000000000000e+02,1.630634185858070850e-03
5.370000000000000000e+02,1.603316050022840500e-03
5.410000000000000000e+02,1.583833945915102959e-03
5.450000000000000000e+02,9.315251708030700684e-01
5.490000000000000000e+02,1.642100512981414795e-03
5.530000000000000000e+02,1.718418905511498451e-03
5.570000000000000000e+02,1.212481060065329075e-03
5.610000000000000000e+02,2.002485562115907669e-03
5.650000000000000000e+02,1.946449163369834423e-03
5.690000000000000000e+02,1.978434389457106590e-03
5.730000000000000000e+02,1.686861854977905750e-03
5.770000000000000000e+02,9.314243197441101074e-01
5.810000000000000000e+02,1.539417658932507038e-03
5.850000000000000000e+02,1.622958458028733730e-03
5.890000000000000000e+02,1.650354359298944473e-03
5.930000000000000000e+02,9.314290285110473633e-01
5.970000000000000000e+02,2.109079621732234955e-03
6.010000000000000000e+02,2.073751064017415047e-03
6.050000000000000000e+02,1.690261880867183208e-03
6.090000000000000000e+02,1.913758227601647377e-03
6.130000000000000000e+02,1.956880791112780571e-03
6.170000000000000000e+02,9.318006634712219238e-01
6.210000000000000000e+02,2.153609879314899445e-03
6.250000000000000000e+02,2.289075637236237526e-03
6.290000000000000000e+02,2.129404805600643158e-03
6.330000000000000000e+02,2.097240416333079338e-03
6.370000000000000000e+02,1.760508166626095772e-03
6.410000000000000000e+02,1.836581039242446423e-03
6.450000000000000000e+02,1.681760302744805813e-03
6.490000000000000000e+02,1.338271424174308777e-03
6.530000000000000000e+02,1.449263072572648525e-03
6.570000000000000000e+02,1.376285101287066936e-03
6.610000000000000000e+02,9.311732053756713867e-01
6.650000000000000000e+02,1.408579177223145962e-03
6.690000000000000000e+02,1.254747156053781509e-03
6.730000000000000000e+02,1.026320271193981171e-03
6.770000000000000000e+02,1.234867377206683159e-03
6.810000000000000000e+02,9.308024644851684570e-01
6.850000000000000000e+02,1.091734273359179497e-03
6.890000000000000000e+02,9.297893848270177841e-04
6.930000000000000000e+02,1.220987178385257721e-03
6.970000000000000000e+02,1.037747948430478573e-03
7.010000000000000000e+02,1.417243387550115585e-03
7.050000000000000000e+02,1.205190434120595455e-03
7.090000000000000000e+02,1.913032960146665573e-03
7.130000000000000000e+02,3.296489128842949867e-03
7.170000000000000000e+02,2.985214814543724060e-03
7.210000000000000000e+02,9.330926537513732910e-01
7.250000000000000000e+02,4.144384060055017471e-03
7.290000000000000000e+02,3.674637759104371071e-03
7.330000000000000000e+02,4.001636058092117310e-03
7.370000000000000000e+02,4.559243563562631607e-03
7.410000000000000000e+02,4.692234098911285400e-03
7.450000000000000000e+02,4.420890007168054581e-03
7.490000000000000000e+02,9.350814223289489746e-01
7.530000000000000000e+02,3.431668039411306381e-03
7.570000000000000000e+02,3.099784022197127342e-03
7.610000000000000000e+02,3.205111715942621231e-03
7.650000000000000000e+02,2.946539781987667084e-03
7.690000000000000000e+02,9.320855140686035156e-01
7.730000000000000000e+02,2.755536697804927826e-03
7.770000000000000000e+02,2.107960404828190804e-03
7.810000000000000000e+02,1.706134411506354809e-03
7.850000000000000000e+02,9.311353564262390137e-01
7.890000000000000000e+02,1.871333573944866657e-03
7.930000000000000000e+02,1.379272551275789738e-03
7.970000000000000000e+02,1.862250804901123047e+00
8.010000000000000000e+02,1.539670163765549660e-03
8.050000000000000000e+02,9.323375821113586426e-01
8.090000000000000000e+02,1.345444587059319019e-03
8.130000000000000000e+02,1.116829924285411835e-03
8.170000000000000000e+02,1.331181148998439312e-03
8.210000000000000000e+02,9.299753904342651367e-01
8.250000000000000000e+02,9.920237353071570396e-04
8.290000000000000000e+02,1.008649822324514389e-03
8.330000000000000000e+02,9.314157366752624512e-01
8.370000000000000000e+02,8.166247280314564705e-04
8.410000000000000000e+02,1.322288182564079762e-03
8.450000000000000000e+02,1.338650705292820930e-03
