environment_step,huber_loss
2.570000000000000000e+02,4.210785496979951859e-03
2.610000000000000000e+02,4.178986884653568268e-03
2.650000000000000000e+02,4.077672492712736130e-03
2.690000000000000000e+02,3.453867509961128235e-03
2.730000000000000000e+02,2.886564936488866806e-03
2.770000000000000000e+02,2.129605505615472794e-03
2.810000000000000000e+02,3.301917342469096184e-03
2.850000000000000000e+02,2.207667334005236626e-03
2.890000000000000000e+02,2.930312883108854294e-03
2.930000000000000000e+02,2.598251448944211006e-03
2.970000000000000000e+02,1.877265865914523602e-03
