time_s,x_m,y_m,theta_rad,v_m_s,w_rad_s
0.000000000000000000e+00,6.750000000000000000e+00,3.350000000000000089e+00,2.873918337131550871e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,6.731854185616997555e+00,3.354976597062985455e+00,2.893553291315844600e+00,3.763174712657928467e-01,3.926990836858749723e-01
1.000000000000000056e-01,6.713581680182238109e+00,3.359604191167502307e+00,2.913188245500138329e+00,3.769875764846801758e-01,3.926990836858749723e-01
1.500000000000000222e-01,6.694620382027825833e+00,3.364011952023552077e+00,2.932823199684432058e+00,3.893374800682067871e-01,3.926990836858749723e-01
2.000000000000000111e-01,6.675386750548255144e+00,3.368086718632557819e+00,2.952458153868725788e+00,3.932105302810668945e-01,3.926990836858749723e-01
2.500000000000000000e-01,6.659323078617339853e+00,3.371161666458818651e+00,2.991728062237313246e+00,3.271066248416900635e-01,7.853981673717499445e-01
3.000000000000000444e-01,6.638723260273340365e+00,3.374272171446108803e+00,3.011363016421606975e+00,4.166666567325592041e-01,3.926990836858749723e-01
3.500000000000000333e-01,6.618066342041807992e+00,3.376977626353793838e+00,3.030997970605900704e+00,4.166666567325592041e-01,3.926990836858749723e-01
4.000000000000000222e-01,6.593219076068862705e+00,3.379736860608021143e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.500000000000000111e-01,6.568371810095917418e+00,3.382496094862248448e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.000000000000000000e-01,6.543524544122972131e+00,3.385255329116475753e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.500000000000000444e-01,6.518677278150026844e+00,3.388014563370703058e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.000000000000000888e-01,6.493830012177081557e+00,3.390773797624930364e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.500000000000000222e-01,6.468982746204136269e+00,3.393533031879157669e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
7.000000000000000666e-01,6.444135480231190982e+00,3.396292266133384974e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
7.500000000000000000e-01,6.419288214258245695e+00,3.399051500387612279e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
8.000000000000000444e-01,6.394440948285300408e+00,3.401810734641839584e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
8.500000000000000888e-01,6.369593682312355121e+00,3.404569968896066889e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
9.000000000000000222e-01,6.344746416339409834e+00,3.407329203150294195e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
9.500000000000000666e-01,6.319899150366464546e+00,3.410088437404521500e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.000000000000000000e+00,6.295051884393519259e+00,3.412847671658748805e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.050000000000000044e+00,6.270204618420573972e+00,3.415606905912976110e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.100000000000000089e+00,6.245357352447628685e+00,3.418366140167203415e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.150000000000000133e+00,6.220510086474683398e+00,3.421125374421430720e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.200000000000000178e+00,6.195662820501738111e+00,3.423884608675658026e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.250000000000000000e+00,6.170815554528792823e+00,3.426643842929885331e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.300000000000000044e+00,6.145968288555847536e+00,3.429403077184112636e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.350000000000000089e+00,6.121121022582902249e+00,3.432162311438339941e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.400000000000000133e+00,6.096273756609956962e+00,3.434921545692567246e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.450000000000000178e+00,6.071426490637011675e+00,3.437680779946794551e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.500000000000000000e+00,6.046579224664066388e+00,3.440440014201021857e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.550000000000000044e+00,6.021731958691121100e+00,3.443199248455249162e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.600000000000000089e+00,5.997571457449947019e+00,3.445882218996013435e+00,3.030997970605900704e+00,4.861802756786346436e-01,0.000000000000000000e+00
1.650000000000000133e+00,5.972724191477001732e+00,3.448641453250240740e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
1.700000000000000178e+00,5.948029035850986190e+00,3.451383795984888980e+00,3.030997970605900704e+00,4.969390928745269775e-01,0.000000000000000000e+00
1.750000000000000000e+00,5.923192695306972233e+00,3.454141816994255265e+00,3.030997970605900704e+00,4.997801482677459717e-01,0.000000000000000000e+00
1.800000000000000044e+00,5.898574078404990928e+00,3.456875660271886197e+00,3.030997970605900704e+00,4.953989088535308838e-01,0.000000000000000000e+00
1.850000000000000089e+00,5.874174168537316554e+00,3.459585216614232017e+00,3.030997970605900704e+00,4.909978806972503662e-01,0.000000000000000000e+00
1.900000000000000133e+00,5.850180909147396413e+00,3.462249615315132090e+00,3.030997970605900704e+00,4.828148782253265381e-01,0.000000000000000000e+00
1.950000000000000178e+00,5.826172555278463783e+00,3.464915690224737777e+00,3.030997970605900704e+00,4.831186234951019287e-01,0.000000000000000000e+00
2.000000000000000000e+00,5.802028457731318589e+00,3.467596839171347423e+00,3.030997970605900704e+00,4.858501851558685303e-01,0.000000000000000000e+00
2.050000000000000266e+00,5.778248324920748580e+00,3.470237570634215007e+00,3.030997970605900704e+00,4.785261452198028564e-01,0.000000000000000000e+00
2.100000000000000089e+00,5.754049071507495228e+00,3.472924844518483933e+00,3.030997970605900704e+00,4.869600832462310791e-01,0.000000000000000000e+00
2.149999999999999911e+00,5.730383329137461956e+00,3.475552873174442059e+00,3.030997970605900704e+00,4.762242734432220459e-01,0.000000000000000000e+00
2.200000000000000178e+00,5.706894141225044237e+00,3.478161295846075252e+00,3.030997970605900704e+00,4.726714789867401123e-01,0.000000000000000000e+00
2.250000000000000000e+00,5.683615686575837600e+00,3.480746317052171079e+00,3.030997970605900704e+00,4.684309065341949463e-01,0.000000000000000000e+00
2.300000000000000266e+00,5.660180129086691991e+00,3.483348784183217806e+00,3.030997970605900704e+00,4.715922772884368896e-01,0.000000000000000000e+00
2.350000000000000089e+00,5.637234694899681209e+00,3.485896824199204325e+00,3.030997970605900704e+00,4.617295563220977783e-01,0.000000000000000000e+00
2.400000000000000355e+00,5.614404273178441152e+00,3.488432092333746404e+00,3.030997970605900704e+00,4.594151675701141357e-01,0.000000000000000000e+00
2.450000000000000178e+00,5.591329277059233327e+00,3.490994519917433259e+00,3.030997970605900704e+00,4.643367230892181396e-01,0.000000000000000000e+00
2.500000000000000000e+00,5.567956002068163102e+00,3.493590070714010398e+00,3.030997970605900704e+00,4.703389704227447510e-01,0.000000000000000000e+00
2.550000000000000266e+00,5.543108736095217814e+00,3.496349304968237703e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
2.600000000000000089e+00,5.518261470122272527e+00,3.499108539222465009e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
2.650000000000000355e+00,5.493414204149327240e+00,3.501867773476692314e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
2.700000000000000178e+00,5.468566938176381953e+00,3.504627007730919619e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
2.750000000000000000e+00,5.443719672203436666e+00,3.507386241985146924e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
2.800000000000000266e+00,5.418872406230491379e+00,3.510145476239374229e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
2.850000000000000089e+00,5.394025140257546092e+00,3.512904710493601534e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
2.900000000000000355e+00,5.369177874284600804e+00,3.515663944747828840e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
2.950000000000000178e+00,5.344330608311655517e+00,3.518423179002056145e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.000000000000000000e+00,5.319483342338710230e+00,3.521182413256283450e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.050000000000000266e+00,5.294636076365764943e+00,3.523941647510510755e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.100000000000000089e+00,5.269788810392819656e+00,3.526700881764738060e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.150000000000000355e+00,5.244941544419874369e+00,3.529460116018965365e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.200000000000000178e+00,5.220094278446929081e+00,3.532219350273192671e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.250000000000000000e+00,5.195247012473983794e+00,3.534978584527419976e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.300000000000000266e+00,5.170399746501038507e+00,3.537737818781647281e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.350000000000000089e+00,5.145552480528093220e+00,3.540497053035874586e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.400000000000000355e+00,5.120705214555147933e+00,3.543256287290101891e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.450000000000000178e+00,5.095857948582202646e+00,3.546015521544329197e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.500000000000000000e+00,5.071010682609257358e+00,3.548774755798556502e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.550000000000000266e+00,5.046163416636312071e+00,3.551533990052783807e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.600000000000000089e+00,5.021316150663366784e+00,3.554293224307011112e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.650000000000000355e+00,4.996468884690421497e+00,3.557052458561238417e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.700000000000000178e+00,4.971621618717476210e+00,3.559811692815465722e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.750000000000000000e+00,4.946774352744530923e+00,3.562570927069693028e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.800000000000000266e+00,4.921927086771585635e+00,3.565330161323920333e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.850000000000000089e+00,4.897079820798640348e+00,3.568089395578147638e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.900000000000000355e+00,4.872232554825695061e+00,3.570848629832374943e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
3.950000000000000178e+00,4.847385288852749774e+00,3.573607864086602248e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.000000000000000000e+00,4.822538022879804487e+00,3.576367098340829553e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.049999999999999822e+00,4.797690756906859200e+00,3.579126332595056859e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.100000000000000533e+00,4.772843490933913912e+00,3.581885566849284164e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.150000000000000355e+00,4.747996224960968625e+00,3.584644801103511469e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.200000000000000178e+00,4.723148958988023338e+00,3.587404035357738774e+00,3.030997970605900704e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.250000000000000000e+00,4.702442904504239962e+00,3.589703397181440714e+00,3.050632924790194433e+00,4.166666567325592041e-01,3.926990836858749723e-01
4.299999999999999822e+00,4.681695696346446667e+00,3.591595779473396810e+00,3.070267878974488163e+00,4.166666567325592041e-01,3.926990836858749723e-01
4.350000000000000533e+00,4.660915332958410318e+00,3.593080452684203063e+00,3.089902833158781892e+00,4.166666567325592041e-01,3.926990836858749723e-01
4.400000000000000355e+00,4.640109825565870594e+00,3.594156844444068799e+00,3.109537787343075621e+00,4.166666567325592041e-01,3.926990836858749723e-01
4.450000000000000178e+00,4.619287195088059406e+00,3.594824539783476602e+00,3.129172741527369350e+00,4.166666567325592041e-01,3.926990836858749723e-01
4.500000000000000000e+00,4.598455469045484634e+00,3.595083281293160127e+00,-3.134377611467923597e+00,4.166666567325592041e-01,3.926990836858749723e-01
4.549999999999999822e+00,4.577622678465166572e+00,3.594932969223341157e+00,-3.114742657283629867e+00,4.166666567325592041e-01,3.926990836858749723e-01
4.600000000000000533e+00,4.556796854784525230e+00,3.594373661522184626e+00,-3.095107703099336138e+00,4.166666567325592041e-01,3.926990836858749723e-01
4.650000000000000355e+00,4.535986026755108647e+00,3.593405573813458265e+00,-3.075472748915042409e+00,4.166666567325592041e-01,3.926990836858749723e-01
4.700000000000000178e+00,4.511040654871061761e+00,3.591753780374013605e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.750000000000000000e+00,4.486095282987014876e+00,3.590101986934568945e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.800000000000000711e+00,4.461149911102967991e+00,3.588450193495124285e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.850000000000000533e+00,4.436204539218921106e+00,3.586798400055679625e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.900000000000000355e+00,4.411259167334874221e+00,3.585146606616234966e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
4.950000000000000178e+00,4.386313795450827335e+00,3.583494813176790306e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.000000000000000000e+00,4.361368423566780450e+00,3.581843019737345646e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.050000000000000711e+00,4.336423051682733565e+00,3.580191226297900986e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.100000000000000533e+00,4.311477679798686680e+00,3.578539432858456326e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.150000000000000355e+00,4.286532307914639794e+00,3.576887639419011666e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.200000000000000178e+00,4.261586936030592909e+00,3.575235845979567006e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.250000000000000000e+00,4.236641564146546024e+00,3.573584052540122347e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.300000000000000711e+00,4.211696192262499139e+00,3.571932259100677687e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.350000000000000533e+00,4.186750820378452254e+00,3.570280465661233027e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.400000000000000355e+00,4.161805448494405368e+00,3.568628672221788367e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.450000000000000178e+00,4.136860076610358483e+00,3.566976878782343707e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.500000000000000000e+00,4.111914704726311598e+00,3.565325085342899047e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.550000000000000711e+00,4.086969332842264713e+00,3.563673291903454388e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.600000000000000533e+00,4.062023960958217828e+00,3.562021498464009728e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.650000000000000355e+00,4.037078589074170942e+00,3.560369705024565068e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.700000000000000178e+00,4.012133217190124057e+00,3.558717911585120408e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.750000000000000000e+00,3.987187845306077172e+00,3.557066118145675748e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.800000000000000711e+00,3.962242473422030287e+00,3.555414324706231088e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.850000000000000533e+00,3.937297101537983401e+00,3.553762531266786429e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.900000000000000355e+00,3.912351729653936516e+00,3.552110737827341769e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
5.950000000000000178e+00,3.887406357769889631e+00,3.550458944387897109e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.000000000000000000e+00,3.862460985885842746e+00,3.548807150948452449e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.050000000000000711e+00,3.837515614001795861e+00,3.547155357509007789e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.100000000000000533e+00,3.812570242117748975e+00,3.545503564069563129e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.150000000000000355e+00,3.787624870233702090e+00,3.543851770630118470e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.200000000000000178e+00,3.762679498349655205e+00,3.542199977190673810e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.250000000000000000e+00,3.737734126465608320e+00,3.540548183751229150e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.300000000000000711e+00,3.712788754581561435e+00,3.538896390311784490e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.350000000000000533e+00,3.687843382697514549e+00,3.537244596872339830e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.400000000000000355e+00,3.662898010813467664e+00,3.535592803432895170e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.450000000000000178e+00,3.637952638929420779e+00,3.533941009993450511e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.500000000000000000e+00,3.613007267045373894e+00,3.532289216554005851e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.550000000000000711e+00,3.588061895161327008e+00,3.530637423114561191e+00,-3.075472748915042409e+00,5.000000000000000000e-01,0.000000000000000000e+00
6.600000000000000533e+00,3.567274085753574298e+00,3.529260928614508686e+00,-3.095107703099336138e+00,4.166666567325592041e-01,-3.926990836858749723e-01
6.650000000000000355e+00,3.546463257724158158e+00,3.528292840905782324e+00,-3.075472748915042409e+00,4.166666567325592041e-01,3.926990836858749723e-01
6.700000000000000178e+00,3.525675448316405447e+00,3.526916346405729819e+00,-3.095107703099336138e+00,4.166666567325592041e-01,-3.926990836858749723e-01
6.750000000000000000e+00,3.504864620286989307e+00,3.525948258697003457e+00,-3.075472748915042409e+00,4.166666567325592041e-01,3.926990836858749723e-01
6.800000000000000711e+00,3.484076810879236596e+00,3.524571764196950951e+00,-3.095107703099336138e+00,4.166666567325592041e-01,-3.926990836858749723e-01
6.850000000000000533e+00,3.463265982849820457e+00,3.523603676488224590e+00,-3.075472748915042409e+00,4.166666567325592041e-01,3.926990836858749723e-01
6.900000000000000355e+00,3.442478173442067746e+00,3.522227181988172084e+00,-3.095107703099336138e+00,4.166666567325592041e-01,-3.926990836858749723e-01
6.950000000000000178e+00,3.421667345412651606e+00,3.521259094279445723e+00,-3.075472748915042409e+00,4.166666567325592041e-01,3.926990836858749723e-01
7.000000000000000000e+00,3.400879536004898895e+00,3.519882599779393217e+00,-3.095107703099336138e+00,4.166666567325592041e-01,-3.926990836858749723e-01
7.050000000000000711e+00,3.380068707975482756e+00,3.518914512070666856e+00,-3.075472748915042409e+00,4.166666567325592041e-01,3.926990836858749723e-01
7.100000000000000533e+00,3.359280898567730045e+00,3.517538017570614350e+00,-3.095107703099336138e+00,4.166666567325592041e-01,-3.926990836858749723e-01
7.150000000000000355e+00,3.338470070538313905e+00,3.516569929861887989e+00,-3.075472748915042409e+00,4.166666567325592041e-01,3.926990836858749723e-01
7.200000000000000178e+00,3.317682261130561194e+00,3.515193435361835483e+00,-3.095107703099336138e+00,4.166666567325592041e-01,-3.926990836858749723e-01
7.250000000000000000e+00,3.296871433101145055e+00,3.514225347653109122e+00,-3.075472748915042409e+00,4.166666567325592041e-01,3.926990836858749723e-01
7.300000000000000711e+00,3.276083623693392344e+00,3.512848853153056616e+00,-3.095107703099336138e+00,4.166666567325592041e-01,-3.926990836858749723e-01
7.350000000000000533e+00,3.255272795663976204e+00,3.511880765444330255e+00,-3.114742657283629867e+00,4.166666567325592041e-01,-3.926990836858749723e-01
7.400000000000000355e+00,3.235889736516492032e+00,3.511360205277327395e+00,-3.134377611467923597e+00,3.878009617328643799e-01,-3.926990836858749723e-01
7.450000000000000178e+00,3.217282491170741832e+00,3.511225950888758440e+00,3.129172741527369350e+00,3.721545934677124023e-01,-3.926990836858749723e-01
