time_s,x_m,y_m,theta_rad
0.000000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,0.000000000000000000e+00
5.000000000000000278e-02,8.500000000000000888e-01,8.500000000000000888e-01,3.061616997868383172e-18
1.000000000000000056e-01,8.500000000000000888e-01,8.500000000000000888e-01,6.123233995736766344e-18
1.500000000000000222e-01,8.500000000000000888e-01,8.500000000000000888e-01,9.184850993605150286e-18
2.000000000000000111e-01,8.500000000000000888e-01,8.500000000000000888e-01,1.224646799147353269e-17
2.500000000000000000e-01,8.500000000000000888e-01,8.500000000000000888e-01,1.530808498934191509e-17
3.000000000000000444e-01,8.500000000000000888e-01,8.500000000000000888e-01,1.836970198721029749e-17
3.500000000000000333e-01,8.500000000000000888e-01,8.500000000000000888e-01,2.143131898507867989e-17
4.000000000000000222e-01,8.500000000000000888e-01,8.500000000000000888e-01,2.449293598294706229e-17
4.500000000000000111e-01,8.500000000000000888e-01,8.500000000000000888e-01,2.755455298081544470e-17
5.000000000000000000e-01,8.500000000000000888e-01,8.500000000000000888e-01,3.061616997868383018e-17
5.500000000000000444e-01,8.500000000000000888e-01,8.500000000000000888e-01,3.367778697655221258e-17
6.000000000000000888e-01,8.500000000000000888e-01,8.500000000000000888e-01,3.673940397442059498e-17
6.500000000000000222e-01,8.500000000000000888e-01,8.500000000000000888e-01,3.980102097228897738e-17
7.000000000000000666e-01,8.500000000000000888e-01,8.500000000000000888e-01,4.286263797015735979e-17
7.500000000000000000e-01,8.500000000000000888e-01,8.500000000000000888e-01,4.592425496802574219e-17
8.000000000000000444e-01,8.500000000000000888e-01,8.500000000000000888e-01,4.898587196589412459e-17
8.500000000000000888e-01,8.500000000000000888e-01,8.500000000000000888e-01,5.204748896376250699e-17
9.000000000000000222e-01,8.500000000000000888e-01,8.500000000000000888e-01,5.510910596163088939e-17
9.500000000000000666e-01,8.500000000000000888e-01,8.500000000000000888e-01,5.817072295949927179e-17
1.000000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,6.123233995736766036e-17
1.050000000000000044e+00,8.500000000000000888e-01,8.500000000000000888e-01,6.429395695523604892e-17
1.100000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,6.735557395310443749e-17
1.150000000000000133e+00,8.500000000000000888e-01,8.500000000000000888e-01,7.041719095097282605e-17
1.200000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,7.347880794884121462e-17
1.250000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,7.654042494670960318e-17
1.300000000000000044e+00,8.500000000000000888e-01,8.500000000000000888e-01,7.960204194457799175e-17
1.350000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,8.266365894244638031e-17
1.400000000000000133e+00,8.500000000000000888e-01,8.500000000000000888e-01,8.572527594031476888e-17
1.450000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,8.878689293818315744e-17
1.500000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,9.184850993605154600e-17
1.550000000000000044e+00,8.500000000000000888e-01,8.500000000000000888e-01,9.491012693391993457e-17
1.600000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,9.797174393178832313e-17
1.650000000000000133e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.010333609296567117e-16
1.700000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.040949779275251003e-16
1.750000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.071565949253934888e-16
1.800000000000000044e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.102182119232618774e-16
1.850000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.132798289211302536e-16
1.900000000000000133e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.274436761652501928e-16
1.950000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.416075234093701320e-16
2.000000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.557713706534900712e-16
2.050000000000000266e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.699352178976100103e-16
2.100000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.840990651417299495e-16
2.149999999999999911e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.982629123858498887e-16
2.200000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.124267596299698279e-16
2.250000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.265906068740897917e-16
2.300000000000000266e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.407544541182097555e-16
2.350000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.549183013623297194e-16
2.400000000000000355e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.690821486064496832e-16
2.450000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.832459958505696470e-16
2.500000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.974098430946896109e-16
2.550000000000000266e+00,8.500000000000000888e-01,8.500000000000000888e-01,3.115736903388095747e-16
2.600000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,3.257375375829295385e-16
2.650000000000000355e+00,8.500000000000000888e-01,8.500000000000000888e-01,3.399013848270495023e-16
2.700000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,3.651674623174210414e-16
2.750000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,3.904335398077925312e-16
2.800000000000000266e+00,8.500000000000000888e-01,8.500000000000000888e-01,4.156996172981640210e-16
2.850000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,4.409656947885355108e-16
2.900000000000000355e+00,8.500000000000000888e-01,8.500000000000000888e-01,4.662317722789070006e-16
2.950000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,4.914978497692784904e-16
3.000000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,5.167639272596499802e-16
3.050000000000000266e+00,8.500000000000000888e-01,8.500000000000000888e-01,5.420300047500214700e-16
3.100000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,5.672960822403929598e-16
3.150000000000000355e+00,8.500000000000000888e-01,8.500000000000000888e-01,6.036643899770160741e-16
3.200000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,6.400326977136391885e-16
3.250000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,6.764010054502623028e-16
3.300000000000000266e+00,8.500000000000000888e-01,8.500000000000000888e-01,7.127693131868854172e-16
3.350000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,7.491376209235085316e-16
3.400000000000000355e+00,8.500000000000000888e-01,8.500000000000000888e-01,7.855059286601316459e-16
3.450000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,8.329764666430062862e-16
3.500000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,8.804470046258809266e-16
3.550000000000000266e+00,8.500000000000000888e-01,8.500000000000000888e-01,9.279175426087554683e-16
3.600000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,9.753880805916301086e-16
3.650000000000000355e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.022858618574504749e-15
3.700000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.081431386803630915e-15
3.750000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.140004155032757081e-15
3.800000000000000266e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.198576923261883248e-15
3.850000000000000089e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.257149691491009414e-15
3.900000000000000355e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.326824689966387106e-15
3.950000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.396499688441764799e-15
4.000000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.466174686917142491e-15
4.049999999999999822e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.546951915638771906e-15
4.100000000000000533e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.627729144360401322e-15
4.150000000000000355e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.708506373082030737e-15
4.200000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.800385832049911481e-15
4.250000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.892265291017792225e-15
4.299999999999999822e+00,8.500000000000000888e-01,8.500000000000000888e-01,1.995246980231924693e-15
4.350000000000000533e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.098228669446057160e-15
4.400000000000000355e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.201210358660189627e-15
4.450000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.315294278120573818e-15
4.500000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.429378197580958008e-15
4.549999999999999822e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.554564347287593528e-15
4.600000000000000533e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.690852727240480770e-15
4.650000000000000355e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.827141107193368013e-15
4.700000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,2.974531717392506584e-15
4.750000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,3.121922327591645155e-15
4.800000000000000711e+00,8.500000000000000888e-01,8.500000000000000888e-01,3.280415168037035449e-15
4.850000000000000533e+00,8.500000000000000888e-01,8.500000000000000888e-01,3.450010238728677467e-15
4.900000000000000355e+00,8.500000000000000888e-01,8.500000000000000888e-01,3.630707539666571208e-15
4.950000000000000178e+00,8.500000000000000888e-01,8.500000000000000888e-01,3.811404840604464948e-15
5.000000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,4.003204371788609623e-15
5.050000000000000711e+00,8.500000000000000888e-01,8.500000000000000888e-01,4.206106133219006022e-15
5.100000000000000533e+00,8.500000000000000888e-01,8.500000000000000888e-01,4.420110124895654143e-15
5.150000000000000355e+00,8.500000000000001998e-01,8.500000000000000888e-01,4.645216346818553987e-15
5.200000000000000178e+00,8.500000000000003109e-01,8.500000000000000888e-01,4.870322568741453832e-15
5.250000000000000000e+00,8.500000000000004219e-01,8.500000000000000888e-01,5.095428790664353677e-15
5.300000000000000711e+00,8.500000000000005329e-01,8.500000000000000888e-01,5.320535012587253521e-15
5.350000000000000533e+00,8.500000000000006439e-01,8.500000000000000888e-01,5.545641234510153366e-15
5.400000000000000355e+00,8.500000000000007550e-01,8.500000000000000888e-01,5.770747456433053210e-15
5.450000000000000178e+00,8.500000000000008660e-01,8.500000000000000888e-01,5.995853678355953055e-15
5.500000000000000000e+00,8.500000000000009770e-01,8.500000000000000888e-01,6.220959900278852899e-15
5.550000000000000711e+00,8.500000000000010880e-01,8.500000000000000888e-01,6.446066122201752744e-15
5.600000000000000533e+00,8.500000000000011990e-01,8.500000000000000888e-01,6.671172344124652589e-15
5.650000000000000355e+00,8.500000000000013101e-01,8.500000000000000888e-01,6.896278566047552433e-15
5.700000000000000178e+00,8.500000000000014211e-01,8.500000000000000888e-01,7.121384787970452278e-15
5.750000000000000000e+00,8.500000000000015321e-01,8.500000000000000888e-01,7.346491009893351333e-15
5.800000000000000711e+00,8.500000000000016431e-01,8.500000000000000888e-01,7.571597231816250389e-15
5.850000000000000533e+00,8.500000000000017542e-01,8.500000000000000888e-01,7.796703453739149445e-15
5.900000000000000355e+00,8.500000000000018652e-01,8.500000000000000888e-01,8.021809675662048500e-15
5.950000000000000178e+00,8.500000000000019762e-01,8.500000000000000888e-01,8.246915897584947556e-15
6.000000000000000000e+00,8.500000000000020872e-01,8.500000000000000888e-01,8.472022119507846612e-15
6.050000000000000711e+00,8.500000000000021982e-01,8.500000000000000888e-01,8.697128341430745668e-15
6.100000000000000533e+00,8.500000000000023093e-01,8.500000000000000888e-01,8.922234563353644723e-15
6.150000000000000355e+00,8.500000000000024203e-01,8.500000000000000888e-01,9.147340785276543779e-15
6.200000000000000178e+00,8.500000000000025313e-01,8.500000000000000888e-01,9.372447007199442835e-15
6.250000000000000000e+00,8.500000000000026423e-01,8.500000000000000888e-01,9.597553229122341890e-15
6.300000000000000711e+00,8.500000000000027534e-01,8.500000000000000888e-01,9.822659451045240946e-15
6.350000000000000533e+00,8.500000000000028644e-01,8.500000000000000888e-01,1.004776567296814000e-14
6.400000000000000355e+00,8.500000000000029754e-01,8.500000000000000888e-01,1.027287189489103906e-14
6.450000000000000178e+00,8.500000000000030864e-01,8.500000000000000888e-01,1.049797811681393811e-14
6.500000000000000000e+00,8.500000000000031974e-01,8.500000000000000888e-01,1.072308433873683717e-14
6.550000000000000711e+00,8.500000000000033085e-01,8.500000000000000888e-01,1.094819056065973622e-14
6.600000000000000533e+00,8.500000000000034195e-01,8.500000000000000888e-01,1.117329678258263528e-14
6.650000000000000355e+00,8.500000000000035305e-01,8.500000000000000888e-01,1.139840300450553434e-14
6.700000000000000178e+00,8.500000000000036415e-01,8.500000000000000888e-01,1.162350922642843339e-14
6.750000000000000000e+00,8.500000000000037526e-01,8.500000000000000888e-01,1.184861544835133245e-14
