time_s,x_m,y_m,theta_rad
0.000000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,0.000000000000000000e+00
5.000000000000000278e-02,8.500000000000000888e-01,8.500000000000000888e-01,9.000000000000001055e-02
1.000000000000000056e-01,8.511189348339115446e-01,8.501009769200743582e-01,1.800000000000000211e-01
1.500000000000000222e-01,8.532935610951073446e-01,8.504966926366626101e-01,2.700000000000000178e-01
2.000000000000000111e-01,8.564302858431550591e-01,8.513648067306853751e-01,3.600000000000000422e-01
2.500000000000000000e-01,8.604099161014147068e-01,8.528627509083751557e-01,4.500000000000000666e-01
3.000000000000000444e-01,8.650924574241410925e-01,8.551246762142771241e-01,5.400000000000000355e-01
3.500000000000000333e-01,8.703218134492050062e-01,8.582593071257637041e-01,6.300000000000000044e-01
4.000000000000000222e-01,8.759303123897826948e-01,8.623485463122713135e-01,7.199999999999999734e-01
4.500000000000000111e-01,8.817430340149706725e-01,8.674466978606319989e-01,8.099999999999999423e-01
5.000000000000000000e-01,8.875819378677977101e-01,8.735802044371132613e-01,8.999999999999999112e-01
5.500000000000000444e-01,8.932698069797343488e-01,8.807478194388709269e-01,9.844537898324745573e-01
6.000000000000000888e-01,8.986552884071866698e-01,8.888551699771535253e-01,1.060693402498797289e+00
6.500000000000000222e-01,9.036395450232337367e-01,8.977636800671920936e-01,1.130028108807087817e+00
7.000000000000000666e-01,9.081612190613186364e-01,9.073491975003488141e-01,1.193113676095726827e+00
7.500000000000000000e-01,9.122170864588274863e-01,9.175724883170442991e-01,1.247377651484037786e+00
8.000000000000000444e-01,9.157913198296244728e-01,9.282358627273601392e-01,1.298615051090329153e+00
8.500000000000000888e-01,9.188722250057992369e-01,9.392742642888401994e-01,1.345046450283578388e+00
9.000000000000000222e-01,9.214766365948134919e-01,9.506143265594413361e-01,1.387420650635468711e+00
9.500000000000000666e-01,9.236246803451364507e-01,9.621966284335149444e-01,1.426095740929631317e+00
1.000000000000000000e+00,9.253495314677705474e-01,9.740334555918498394e-01,1.457315459182999096e+00
1.050000000000000044e+00,9.267135347582126093e-01,9.860014914089100246e-01,1.488244504498367204e+00
1.100000000000000089e+00,9.277131294056725208e-01,9.980826654775966089e-01,1.516154399883846482e+00
1.150000000000000133e+00,9.283786152055824026e-01,1.010249574352471091e+00,1.541696443130084360e+00
1.200000000000000178e+00,9.287359181931893470e-01,1.022524610600705763e+00,1.560712763634648725e+00
1.250000000000000000e+00,9.288600679815861572e-01,1.034836288389377579e+00,1.580688471802313977e+00
1.300000000000000044e+00,9.287379592106553838e-01,1.047179899188420693e+00,1.598587407678056627e+00
1.350000000000000089e+00,9.283942289775135581e-01,1.059545079850104710e+00,1.614993166686264248e+00
1.400000000000000133e+00,9.278455521682580365e-01,1.071951385583895133e+00,1.625672685244694549e+00
1.450000000000000178e+00,9.271638298531317268e-01,1.084361791097988803e+00,1.638060435356099465e+00
1.500000000000000000e+00,9.263276085744415189e-01,1.096774945245008404e+00,1.649029925188477685e+00
1.550000000000000044e+00,9.253545186736021888e-01,1.109187819585426116e+00,1.659104396001468862e+00
1.600000000000000089e+00,9.242543612268034892e-01,1.121613594232187650e+00,1.664159103106834570e+00
1.650000000000000133e+00,9.230911622238123782e-01,1.134036289514169571e+00,1.671328743875182266e+00
1.700000000000000178e+00,9.218385238757711431e-01,1.146454328360768216e+00,1.677543214312730235e+00
1.750000000000000000e+00,9.205084076406236937e-01,1.158867432332640668e+00,1.683269624979900625e+00
1.800000000000000044e+00,9.191060898798320000e-01,1.171282819543152831e+00,1.684606928844752716e+00
1.850000000000000089e+00,9.176871465399114580e-01,1.183696527604646054e+00,1.688234268707134111e+00
1.900000000000000133e+00,9.162230667352613267e-01,1.196106000065886077e+00,1.691232034873684453e+00
1.950000000000000178e+00,9.147217056759266995e-01,1.208511748275087783e+00,1.694014853224057982e+00
2.000000000000000000e+00,9.131854143454597450e-01,1.220916606723283948e+00,1.692971572931816437e+00
2.050000000000000266e+00,9.116620813726269423e-01,1.233322932690863682e+00,1.694240216064154314e+00
2.100000000000000089e+00,9.101229970379662859e-01,1.245727424041690456e+00,1.695107169519105561e+00
2.149999999999999911e+00,9.085731515011020720e-01,1.258130637761041948e+00,1.695938383621585333e+00
2.200000000000000178e+00,9.070129896549160575e-01,1.270532615538372267e+00,1.693444169515204045e+00
2.250000000000000000e+00,9.054837464361328303e-01,1.282938603344054851e+00,1.693186097736754991e+00
2.300000000000000266e+00,9.039577039760414712e-01,1.295344992931768635e+00,1.692684542687681315e+00
2.350000000000000089e+00,9.024378818604211761e-01,1.307752165411552703e+00,1.692260832899129097e+00
2.400000000000000355e+00,9.009234843381652702e-01,1.320158609208562650e+00,1.688954669568688782e+00
2.450000000000000178e+00,8.994500532415370397e-01,1.332570493302075887e+00,1.687750185490965116e+00
2.500000000000000000e+00,8.979915578404190635e-01,1.344984273224503202e+00,1.686410761995203789e+00
2.550000000000000266e+00,8.965496747498274965e-01,1.357400135922270268e+00,1.685217285442598412e+00
2.600000000000000089e+00,8.951228228297939404e-01,1.369815864992396159e+00,1.681531276657644014e+00
2.650000000000000355e+00,8.937416636401137593e-01,1.382237500686703813e+00,1.679780750099549858e+00
2.700000000000000178e+00,8.923822220496772095e-01,1.394661799310604966e+00,1.677968538552351507e+00
2.750000000000000000e+00,8.910452703243768591e-01,1.407088799643094301e+00,1.676339240819231913e+00
2.800000000000000266e+00,8.897287640869827596e-01,1.419516107466123778e+00,1.672559020731784196e+00
2.850000000000000089e+00,8.884591603794002035e-01,1.431949132850228512e+00,1.670534599673487941e+00
2.900000000000000355e+00,8.872146941083600691e-01,1.444385050986005004e+00,1.668496799811040932e+00
2.950000000000000178e+00,8.859955401806783870e-01,1.456823807141374383e+00,1.666657935695790460e+00
3.000000000000000000e+00,8.847994210094006773e-01,1.469263125098871914e+00,1.662966199461897165e+00
3.050000000000000266e+00,8.836491561624586488e-01,1.481707600624646792e+00,1.660849113535638688e+00
3.100000000000000089e+00,8.825252057949576345e-01,1.494154861141681501e+00,1.658749443680616276e+00
3.150000000000000355e+00,8.814273622686750187e-01,1.506604802914579988e+00,1.656850983879029959e+00
3.200000000000000178e+00,8.803532768026531841e-01,1.519055411014660129e+00,1.653358777303644667e+00
3.250000000000000000e+00,8.793226149293423832e-01,1.531510455002537796e+00,1.651266222308148901e+00
3.300000000000000266e+00,8.783179885373494367e-01,1.543967995738318555e+00,1.649209704337802895e+00
3.350000000000000089e+00,8.773389570803635795e-01,1.556427911229034899e+00,1.647347967991198425e+00
