time_s,x_m,y_m,theta_rad,v_m_s,w_rad_s
0.000000000000000000e+00,6.750000000000000000e+00,3.350000000000000089e+00,2.873918337131550871e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,6.750113605451807608e+00,3.349968843032014476e+00,2.871722459884992418e+00,-2.356009790673851967e-03,-4.391754493117332875e-02
1.000000000000000056e-01,6.750231761524411844e+00,3.349936158889196491e+00,2.869485782216003589e+00,-2.451865468174219131e-03,-4.473355337977409640e-02
1.500000000000000222e-01,6.750345398588812884e+00,3.349904450999353411e+00,2.867254302668085675e+00,-2.359556965529918671e-03,-4.462959095835685591e-02
2.000000000000000111e-01,6.750458944062678768e+00,3.349872495393964922e+00,2.865020208301654492e+00,-2.359129954129457474e-03,-4.468188732862472812e-02
2.500000000000000000e-01,6.750572459701312589e+00,3.349840274321099542e+00,2.862782818506172333e+00,-2.359999809414148331e-03,-4.474779590964317322e-02
3.000000000000000444e-01,6.750686133564316016e+00,3.349807733337512694e+00,2.860540098490825134e+00,-2.364797051995992661e-03,-4.485440030694008012e-02
3.500000000000000333e-01,6.750800102207075604e+00,3.349774831244594075e+00,2.858300650770476459e+00,-2.372458577156066895e-03,-4.478895440697670122e-02
4.000000000000000222e-01,6.750914781285445976e+00,3.349741445650415983e+00,2.856060522104313826e+00,-2.388797933235764503e-03,-4.480257332324982106e-02
4.500000000000000111e-01,6.751030195718814575e+00,3.349707565339560045e+00,2.853824489506593398e+00,-2.405690494924783707e-03,-4.472065195441245894e-02
5.000000000000000000e-01,6.751176816817483939e+00,3.349664167866841957e+00,2.851680519039442974e+00,-3.058175090700387955e-03,-4.287940934300422946e-02
5.500000000000000444e-01,6.751322626855451148e+00,3.349620670239282116e+00,2.849548500160386855e+00,-3.043196396902203560e-03,-4.264037758111954152e-02
6.000000000000000888e-01,6.751468435989801620e+00,3.349576834132407033e+00,2.847413192222526312e+00,-3.045121207833290100e-03,-4.270615875720978200e-02
6.500000000000000222e-01,6.751613682346280676e+00,3.349532828823412522e+00,2.845273019092788847e+00,-3.035323461517691612e-03,-4.280346259474754333e-02
7.000000000000000666e-01,6.751757782758446069e+00,3.349488833774216356e+00,2.843132172058036478e+00,-3.013336565345525742e-03,-4.281694069504737854e-02
7.500000000000000000e-01,6.751901864550128529e+00,3.349444506979610825e+00,2.840990293713917758e+00,-3.014924703165888786e-03,-4.283756688237190524e-02
8.000000000000000444e-01,6.752046084144752491e+00,3.349399799428544711e+00,2.838853019046297277e+00,-3.019805066287517548e-03,-4.274549335241317749e-02
8.500000000000000888e-01,6.752178056339289469e+00,3.349358579155385485e+00,2.836450137960424556e+00,-2.765195909887552261e-03,-4.805762171745300154e-02
9.000000000000000222e-01,6.752310394108007152e+00,3.349316895421613705e+00,2.834033015685787138e+00,-2.774946391582489014e-03,-4.834244549274444719e-02
9.500000000000000666e-01,6.752442385807786884e+00,3.349274969731922624e+00,2.831615081037094583e+00,-2.769806655123829842e-03,-4.835869297385216037e-02
1.000000000000000000e+00,6.752573821736734594e+00,3.349232870438944243e+00,2.829196877161672230e+00,-2.760272007435560226e-03,-4.836407750844955861e-02
1.050000000000000044e+00,6.752706051981660629e+00,3.349190163885296112e+00,2.826786610613277073e+00,-2.779114060103893280e-03,-4.820533096790313721e-02
1.100000000000000089e+00,6.752837426386703257e+00,3.349147383793209087e+00,2.824381088892629066e+00,-2.763285767287015915e-03,-4.811043441295623918e-02
1.150000000000000133e+00,6.752968199472126898e+00,3.349104451303654084e+00,2.821976850273718807e+00,-2.752802101895213127e-03,-4.808477237820625583e-02
