time_s,x_m,y_m,theta_rad
0.000000000000000000e+00,8.500000000000000888e-01,8.500000000000000888e-01,0.000000000000000000e+00
5.000000000000000278e-02,8.624034734589209883e-01,8.500000000000000888e-01,6.106325395161031622e-03
1.000000000000000056e-01,8.748112758542490042e-01,8.500757670205807415e-01,1.221866699300635378e-02
1.500000000000000222e-01,8.872228346866163351e-01,8.502274272723067128e-01,1.833718164456294222e-02
2.000000000000000111e-01,8.996375754064382946e-01,8.504551041474807116e-01,2.446204327759524816e-02
2.500000000000000000e-01,9.120549214044274544e-01,8.507589184050566855e-01,3.059344482876346152e-02
3.000000000000000444e-01,9.244782182027256878e-01,8.511391084717365718e-01,3.546157490923187300e-02
3.500000000000000333e-01,9.369026402540397980e-01,8.515798828218421601e-01,4.033354053955055807e-02
4.000000000000000222e-01,9.493278205280230031e-01,8.520813062679276628e-01,4.520944743722612319e-02
4.500000000000000111e-01,9.617533910292602739e-01,8.526434424788781330e-01,5.008941131061692142e-02
5.000000000000000000e-01,9.741789827834267390e-01,8.532663540933707047e-01,5.497355889664576334e-02
5.500000000000000444e-01,9.866042258197520454e-01,8.539501028459633991e-01,5.986202913616685967e-02
6.000000000000000888e-01,9.990287491493037297e-01,8.546947497074610656e-01,6.475497450950620792e-02
6.500000000000000222e-01,1.011452180738520834e+00,8.555003550414781444e-01,6.965256255911224381e-02
7.000000000000000666e-01,1.023880533983193564e+00,8.563674243367106476e-01,7.337386302704690388e-02
7.500000000000000000e-01,1.036307397154375254e+00,8.572808711299474416e-01,7.709772131515019167e-02
8.000000000000000444e-01,1.048732553877289586e+00,8.582407249634805835e-01,8.082422605051507725e-02
8.500000000000000888e-01,1.061155787312025200e+00,8.592470153617288720e-01,8.455347345201977283e-02
9.000000000000000222e-01,1.073576880135388212e+00,8.602997719211843419e-01,8.828556811559594431e-02
9.500000000000000666e-01,1.085995614520130825e+00,8.613990244098652660e-01,9.202062390353377141e-02
1.000000000000000000e+00,1.098411772111216544e+00,8.625448028775313247e-01,9.575876495481445982e-02
1.050000000000000044e+00,1.110825133998725178e+00,8.637371377781192239e-01,9.950012683678746694e-02
1.100000000000000089e+00,1.123241558821539421e+00,8.649766668850169538e-01,1.022018024988176621e-01
1.150000000000000133e+00,1.135655548462447983e+00,8.662498349275778997e-01,1.049051543563538497e-01
1.200000000000000178e+00,1.148066988029601498e+00,8.675566563283203525e-01,1.076102504914590169e-01
1.250000000000000000e+00,1.160475762385832388e+00,8.688971459186564106e-01,1.103171644670623425e-01
1.300000000000000044e+00,1.172881756133720366e+00,8.702713190050144210e-01,1.130259758925591246e-01
1.350000000000000089e+00,1.185284853598934873e+00,8.716791914418259291e-01,1.157367710642515091e-01
1.400000000000000133e+00,1.197684938811630184e+00,8.731207797122856329e-01,1.184496436928342972e-01
1.450000000000000178e+00,1.210081895485634051e+00,8.745961010179394979e-01,1.211646957325168417e-01
1.500000000000000000e+00,1.222480212887863349e+00,8.761057341970557300e-01,1.230012375780692724e-01
1.550000000000000044e+00,1.234876179347841108e+00,8.776381895466507377e-01,1.248388444612420489e-01
1.600000000000000089e+00,1.247269741232865936e+00,8.791934754722325884e-01,1.266775641285932674e-01
1.650000000000000133e+00,1.259660844772272359e+00,8.807716008306406552e-01,1.285174480326125579e-01
1.700000000000000178e+00,1.272049436047505644e+00,8.823725749751637482e-01,1.303585517135463223e-01
1.750000000000000000e+00,1.284435460981151023e+00,8.839964078053154095e-01,1.322009352316816932e-01
1.800000000000000044e+00,1.296818865324779635e+00,8.856431098218814357e-01,1.340446636583063622e-01
1.850000000000000089e+00,1.309199594645451992e+00,8.873126921879567197e-01,1.358898076351662543e-01
1.900000000000000133e+00,1.321580534167789533e+00,8.890055687707612009e-01,1.370235112139396583e-01
1.950000000000000178e+00,1.333959714990053058e+00,8.907125038088717917e-01,1.381578471275629327e-01
2.000000000000000000e+00,1.346337116264649802e+00,8.924335027892639216e-01,1.392928452798240513e-01
2.050000000000000266e+00,1.358712717068820908e+00,8.941685715345053520e-01,1.404285378501818338e-01
2.100000000000000089e+00,1.371086496399026577e+00,8.959177162306248832e-01,1.415649595279036832e-01
2.149999999999999911e+00,1.383458433164755474e+00,8.976809434578510993e-01,1.427021477771035218e-01
2.200000000000000178e+00,1.395828506181685080e+00,8.994582602245995151e-01,1.438401431377047957e-01
2.250000000000000000e+00,1.408196694164104645e+00,9.012496740051482158e-01,1.449789895683335494e-01
2.300000000000000266e+00,1.420564528777457758e+00,9.030554195336500944e-01,1.455661910550861415e-01
2.350000000000000089e+00,1.432931346118829330e+00,9.048684337872651140e-01,1.461537137374388229e-01
2.400000000000000355e+00,1.445297140313784423e+00,9.066887200159446936e-01,1.467415731703277104e-01
